city|location|price|bedrooms|baths|size
Lahore|Bahria Orchard Phase 4 - Block G5, Bahria Orchard Phase 4|5500000|2|2|1125
Lahore|Park View City - Rose Block, Park View City|17500000|4|4|1125
Lahore|DHA 9 Town - Block A, DHA 9 Town|18900000|3|4|1125
Lahore|DHA Phase 6, DHA Defence|75000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|75000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|59900000|5|6|4500
Lahore|Bahria Town - Babar Block, Bahria Town - Sector A|170000000|7|8|9000
Lahore|DHA Phase 7, DHA Defence|367500000|6|6|9000
Lahore|DHA Phase 7, DHA Defence|56500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|115000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|92500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|107500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|109900000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|86500000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|51500000|4|6|2250
Lahore|DHA Phase 6, DHA Defence|107500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|75500000|5|6|4500
Lahore|Al-Kabir Phase 2 - Block D, Al-Kabir Town - Phase 2|24500000|6|6|1125
Lahore|DHA Phase 6, DHA Defence|78000000|5|7|4500
Lahore|Bahria Town - Block CC, Bahria Town - Sector D|16500000|3|3|1125
Lahore|DHA Phase 7 - Block T, DHA Phase 7|140000000|5|6|4500
Lahore|Bahria Town - Sector H, Bahria Town|21800000|3|3|1125
Lahore|Bahria Town - Sector H, Bahria Town|4600000|3|3|1125
Lahore|Bahria Town - Sector H, Bahria Town|21800000|3|3|1125
Lahore|DHA Phase 7, DHA Defence|62800000|5|6|4500
Lahore|DHA Phase 7 - Block R, DHA Phase 7|107500000|5|6|4500
Lahore|Park View City, Lahore|16000000|4|5|1125
Lahore|Canal Garden, Lahore|45000000|4|4|4500
Lahore|DHA Phase 5, DHA Defence|357500000|6|6|9000
Lahore|Wapda Town Phase 1, Wapda Town|22500000|3|4|1125
Lahore|Mustafa Town, Lahore|11500000|3|4|675
Lahore|Allama Iqbal Town, Lahore|62000000|5|6|2250
Lahore|Wapda Town Phase 1, Wapda Town|52100000|5|6|2250
Lahore|DHA Phase 8, DHA Defence|85000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|65000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|60000000|5|6|4500
Lahore|DHA Phase 8, DHA Defence|70000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|70000000|5|6|4500
Lahore|DHA Phase 8, DHA Defence|77500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|87500000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|60000000|4|6|2250
Lahore|LDA Avenue - Block H, LDA Avenue|35000000|2|3|4500
Lahore|DHA Phase 6, DHA Defence|115000000|5|6|4950
Lahore|DHA Phase 6 - Block K, DHA Phase 6|75000000|5|6|4500
Lahore|DHA Phase 6 - Block K, DHA Phase 6|118500000|5|6|4500
Lahore|Bahria Town - Babar Block, Bahria Town - Sector A|7650000|1|1|608
Lahore|Bankers Housing Society - Block B, Bankers Co-operative Housing Society|35000000|5|6|2250
Lahore|Bankers Housing Society - Block B, Bankers Co-operative Housing Society|28000000|5|6|2250
Lahore|Multan Road, Lahore|145000000|0|0|90000
Lahore|DHA Phase 7, DHA Defence|65000000|5|5|4500
Lahore|Wapda Town, Lahore|45800000|5|6|2250
Lahore|Canal Garden, Lahore|16200000|5|5|1125
Lahore|Park View City, Lahore|12300000|3|3|1125
Lahore|Wapda Town Phase 1, Wapda Town|48000000|5|6|2250
Lahore|Faisal Town, Lahore|64000000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|53900000|6|6|2250
Lahore|Johar Town Phase 2, Johar Town|5400000|1|1|472
Lahore|Wapda Town Phase 1, Wapda Town|48500000|5|6|2250
Lahore|Park View City, Lahore|15200000|4|5|1125
Lahore|Park View City, Lahore|11200000|3|4|788
Lahore|Park View City, Lahore|16000000|4|5|1125
Lahore|Park View City, Lahore|31000000|5|6|2250
Lahore|Park View City, Lahore|30000000|5|6|2250
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|14600000|3|3|968
Lahore|Eden Palace Villas, Eden|26000000|5|6|1800
Lahore|Askari 10 - Sector F, Askari 10|30000000|3|4|2250
Lahore|Central Park - Block A, Central Park Housing Scheme|27500000|4|5|2250
Lahore|DHA Phase 6 - Block K, DHA Phase 6|127500000|5|6|9000
Lahore|Bahria Orchard Phase 1 - Central, Bahria Orchard Phase 1|32700000|5|0|2250
Lahore|DHA Phase 7, DHA Defence|137500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|480000000|6|6|9000
Lahore|Bahria Town - Ghaznavi Block, Bahria Town - Sector F|46000000|5|6|2475
Lahore|Bahria Town - Sector C, Bahria Town|33000000|5|6|2250
Lahore|DHA Phase 6 - Block B, DHA Phase 6|130000000|5|6|4500
Lahore|Bahria Orchard Phase 4 - Block G5, Bahria Orchard Phase 4|5800000|2|2|1125
Lahore|Time Square Mall & Residencia, Bahria Orchard|7500000|1|1|428
Lahore|Canal Garden, Lahore|110000000|5|6|9000
Lahore|Al Rehman Garden Phase 2, Al Rehman Garden|18500000|5|6|1125
Lahore|Johar Town Phase 2, Johar Town|29800000|5|6|1125
Lahore|Wapda Town Phase 1, Wapda Town|39000000|5|6|2250
Lahore|Architects Engineers Housing Society, Lahore|34800000|5|5|2250
Lahore|Allama Iqbal Town, Lahore|47500000|5|5|2250
Lahore|OPF Housing Scheme, Lahore|42500000|5|6|2250
Lahore|PIA Housing Scheme, Lahore|62000000|6|7|4500
Lahore|Royal Residencia - Block D, Royal Residencia|28000000|5|6|1800
Lahore|Johar Town Phase 2, Johar Town|23000000|3|4|1125
Lahore|Johar Town Phase 2, Johar Town|25000000|5|6|1125
Lahore|Faisal Town - Block C, Faisal Town|40000000|5|5|2250
Lahore|Paragon City, Lahore|16800000|3|4|900
Lahore|Paragon City, Lahore|20000000|3|4|1125
Lahore|DHA Phase 6 - Block A, DHA Phase 6|81200000|5|6|5400
Lahore|DHA Phase 6, DHA Defence|240000000|5|6|4500
Lahore|Central Park Housing Scheme, Lahore|10500000|3|3|675
Lahore|Bedian Road, Lahore|120000000|3|4|40500
Lahore|Bedian Road, Lahore|39000000|4|5|9000
Lahore|DHA 9 Town, DHA Defence|21500000|3|4|1125
Lahore|Bahria Town - Nishtar Block, Bahria Town - Sector E|4000000|1|1|405
Lahore|Bahria Town - Nishtar Block, Bahria Town - Sector E|4000000|1|1|518
Lahore|Dream Gardens, Defence Road|8800000|1|0|585
Lahore|Askari 11 - Sector D, Askari 11|30000000|3|4|2250
Lahore|DHA Phase 8, DHA Defence|26500000|3|4|1125
Lahore|DHA Phase 6 - Block K, DHA Phase 6|400000000|6|7|9000
Lahore|DHA Phase 2 - Block S, DHA Phase 2|59500000|5|6|4500
Lahore|Johar Town Phase 2, Johar Town|33800000|6|6|1125
Lahore|Johar Town Phase 2, Johar Town|43900000|5|6|1575
Lahore|The Spring Apartment Homes, Main Canal Bank Road|12800000|1|1|832
Lahore|Johar Town, Lahore|42000000|5|6|2250
Lahore|Khayaban-e-Amin, Lahore|18200000|3|3|1125
Lahore|DHA Phase 5 - Block L, DHA Phase 5|67500000|5|6|4050
Lahore|DHA Phase 8 - Ex Park View, DHA Phase 8|78500000|5|6|4500
Lahore|DHA Phase 3 - Block Y, DHA Phase 3|66500000|5|6|4500
Lahore|DHA Phase 6 - Block B, DHA Phase 6|75500000|5|6|4950
Lahore|DHA Phase 7 - Block S, DHA Phase 7|96500000|5|6|9000
Lahore|Park View City, Lahore|20000000|4|4|1125
Lahore|Askari 11, Askari|32000000|3|4|2250
Lahore|Askari 11, Askari|29000000|3|3|2250
Lahore|OLC - Block A, Overseas Low Cost|12300000|3|3|1125
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|29000000|5|6|2250
Lahore|Bedian Road, Lahore|600000000|7|6|216000
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|49800000|5|7|4500
Lahore|DHA Phase 7 - Block Z, DHA Phase 7|69900000|5|6|4500
Lahore|DHA Phase 6 - Block D, DHA Phase 6|67000000|4|5|2250
Lahore|UBL Housing Society, Lahore|15500000|2|3|900
Lahore|Paragon City, Lahore|37500000|5|6|2250
Lahore|Paragon City, Lahore|41500000|4|5|2250
Lahore|DHA Phase 7, DHA Defence|65000000|5|6|4500
Lahore|Bahria Town - Sector D, Bahria Town|27000000|3|4|1125
Lahore|Bedian Road, Lahore|39000000|3|5|27000
Lahore|PCSIR Housing Scheme Phase 2, PCSIR Housing Scheme|99800000|5|6|4500
Lahore|Architects Engineers Housing Society, Lahore|41900000|5|6|2250
Lahore|Wapda Town Phase 1, Wapda Town|64800000|5|6|4500
Lahore|Johar Town, Lahore|74200000|6|6|2700
Lahore|Johar Town Phase 2, Johar Town|42300000|5|5|1688
Lahore|Paragon City - Woods Block, Paragon City|23500000|3|3|1125
Lahore|Paragon City - Imperial Block, Paragon City|25000000|3|3|1125
Lahore|DHA Phase 5 - Block B, DHA Phase 5|78700000|5|6|5400
Lahore|Paragon City, Lahore|18500000|3|4|1350
Lahore|Clifton Colony, Lahore|11500000|4|3|1080
Lahore|DHA Phase 4, DHA Defence|50000000|3|4|5400
Lahore|DHA Phase 7, DHA Defence|85000000|5|6|4500
Lahore|Military Accounts Housing Society, Lahore|17000000|3|4|900
Lahore|DHA Phase 7, DHA Defence|62500000|5|6|4500
Lahore|Eden City, Eden|39000000|4|5|2250
Lahore|DHA Phase 8, DHA Defence|67500000|5|6|4500
Lahore|Park View City, Lahore|11500000|3|4|788
Lahore|DHA Phase 7, DHA Defence|73000000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|27500000|3|4|1125
Lahore|Bahria Town - Sector C, Bahria Town|33000000|5|6|2250
Lahore|Bahria Town - Sector B, Bahria Town|119000000|6|6|4500
Lahore|Bahria Town - Nishtar Block, Bahria Town - Sector E|21500000|3|4|1350
Lahore|Pace Circle, Amjad Chaudhry Road|22800000|0|0|0.0
Lahore|Bedian Road, Lahore|40000000|5|6|20250
Lahore|Bedian Road, Lahore|65000000|2|2|36000
Lahore|Johar Town Phase 2, Johar Town|42300000|5|6|1575
Lahore|OPF Housing Scheme, Lahore|43800000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|64800000|6|6|2700
Lahore|Allama Iqbal Town, Lahore|75500000|5|6|2250
Lahore|Wapda Town Phase 1, Wapda Town|77900000|6|6|4500
Lahore|Eden Boulevard Housing Scheme, College Road|25000000|5|6|1125
Lahore|Military Accounts Housing Society, Lahore|25000000|5|6|1800
Lahore|DHA Phase 7, DHA Defence|89900000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|94500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|95000000|5|6|4500
Lahore|Eden Residencia, Eden|16200000|4|4|900
Lahore|Park View City, Lahore|11500000|3|4|788
Lahore|Park View City, Lahore|31000000|5|6|2250
Lahore|Bahria Town - Sector A, Bahria Town|13500000|2|0|900
Lahore|DHA Phase 6 - Block E, DHA Phase 6|72500000|5|6|4500
Lahore|DHA Phase 3 - Block Y, DHA Phase 3|340000000|7|6|9450
Lahore|Paragon City - Imperial 1 Block, Paragon City|45000000|5|6|2250
Lahore|Paragon City - Orchard 1 Block, Paragon City|43000000|4|6|2250
Lahore|Cavalry Ground, Lahore|19600000|3|4|900
Lahore|Park View City, Lahore|17000000|4|4|1125
Lahore|DHA 11 Rahbar Phase 1, DHA 11 Rahbar|46000000|4|6|2250
Lahore|DHA 11 Rahbar Phase 1, DHA 11 Rahbar|51500000|5|7|2250
Lahore|DHA Phase 7, DHA Defence|68500000|6|6|5400
Lahore|Bedian Road, Lahore|39000000|1|1|27000
Lahore|DHA Phase 7, DHA Defence|58500000|5|6|4500
Lahore|Johar Town, Lahore|50800000|5|6|2250
Lahore|Wapda Town Phase 1, Wapda Town|83900000|6|6|4500
Lahore|Johar Town Phase 2, Johar Town|31700000|5|6|1125
Lahore|Johar Town, Lahore|42800000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|31900000|5|6|1125
Lahore|DHA Phase 6, DHA Defence|107500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|94000000|6|7|4500
Lahore|DHA Phase 6, DHA Defence|100000000|5|6|4500
Lahore|Park View City, Lahore|11500000|3|4|788
Lahore|DHA Phase 6, DHA Defence|122500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|110000000|5|6|4500
Lahore|Park View City, Lahore|16000000|4|5|1125
Lahore|DHA Phase 7, DHA Defence|105000000|5|6|4500
Lahore|Paragon City - Woods Block, Paragon City|48000000|5|6|2250
Lahore|Paragon City, Lahore|40000000|5|6|2250
Lahore|Paragon City, Lahore|46000000|5|6|2250
Lahore|Paragon City, Lahore|44000000|4|5|2250
Lahore|Paragon City, Lahore|25000000|3|4|1125
Lahore|DHA Phase 6 - Block G, DHA Phase 6|86500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|132500000|5|6|4500
Lahore|Indigo Heights, Gulberg 3|11000000|1|1|248
Lahore|Eden Boulevard Housing Scheme, College Road|26000000|4|5|1125
Lahore|Canal Garden, Lahore|15800000|5|5|1125
Lahore|DHA Phase 6, DHA Defence|99000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|104500000|5|6|4950
Lahore|Johar Town Phase 2, Johar Town|18000000|3|3|675
Lahore|DHA Phase 6, DHA Defence|89500000|5|6|4500
Lahore|Bahria Town - Sector B, Bahria Town|200000000|6|6|9000
Lahore|Johar Town, Lahore|54000000|5|6|2250
Lahore|Allama Iqbal Town, Lahore|27500000|4|5|1125
Lahore|DHA Phase 7, DHA Defence|84500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|99000000|7|7|4500
Lahore|DHA Phase 7, DHA Defence|79900000|7|7|4500
Lahore|Park View City, Lahore|11200000|4|5|788
Lahore|DHA Phase 7, DHA Defence|77500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|80000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|67500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|99900000|5|6|4500
Lahore|Paragon City - Executive Block, Paragon City|16000000|3|4|900
Lahore|Paragon City - Imperial Block, Paragon City|70000000|6|7|4500
Lahore|Paragon City - Executive Block, Paragon City|80000000|6|7|4500
Lahore|Paragon City, Lahore|27000000|3|4|1125
Lahore|Paragon City, Lahore|23500000|3|4|1125
Lahore|Bahria Town - Talha Block, Bahria Town - Sector E|105000000|6|7|4500
Lahore|Park View City - Platinum Block, Park View City|15300000|4|4|1125
Lahore|Al Haram Garden - Block A, Al Haram Garden|7500000|3|3|675
Lahore|Askari 11, Askari|26500000|3|3|2250
Lahore|Bahria Orchard Phase 4, Bahria Orchard|12000000|3|4|1125
Lahore|Askari 11, Askari|30000000|3|3|2250
Lahore|Askari 11, Askari|29500000|3|3|2250
Lahore|Allama Iqbal Town, Lahore|27500000|4|5|1125
Lahore|Allama Iqbal Town, Lahore|15000000|2|2|675
Lahore|Allama Iqbal Town, Lahore|17000000|4|5|675
Lahore|Allama Iqbal Town - Umar Block, Allama Iqbal Town|44000000|5|6|2250
Lahore|DHA Phase 11 - Halloki Gardens, DHA Defence|17500000|3|3|1125
Lahore|DHA Phase 7, DHA Defence|247500000|5|6|9000
Lahore|DHA Phase 6, DHA Defence|370000000|6|7|9000
Lahore|DHA Phase 6, DHA Defence|360000000|6|6|9000
Lahore|Bahria Town - Sector E, Bahria Town|6500000|1|1|495
Lahore|DHA Phase 7, DHA Defence|94900000|7|6|9000
Lahore|DHA Phase 6, DHA Defence|71500000|5|6|4500
Lahore|DHA Phase 7 - Block R, DHA Phase 7|72200000|5|6|4500
Lahore|DHA Phase 7 - Block S, DHA Phase 7|71200000|5|6|4500
Lahore|Paragon City - Woods Block, Paragon City|25500000|3|4|1125
Lahore|Paragon City - Imperial 2 Block, Paragon City|18500000|3|4|900
Lahore|Barki Road, Cantt|45000000|2|3|18000
Lahore|Central Park - Block E, Central Park Housing Scheme|16500000|3|4|1125
Lahore|Bedian Road, Lahore|50000000|4|4|36000
Lahore|Bahria Town - Block EE, Bahria Town - Sector D|19500000|3|3|1125
Lahore|Audit & Accounts Phase 1 - Block F, Audit & Accounts Phase 1|17000000|4|4|900
Lahore|Khayaban-e-Amin - Block L, Khayaban-e-Amin|17000000|3|4|1125
Lahore|Chughtai Garden, Lahore|3500000|4|2|450
Lahore|Askari 10 - Sector S, Askari 10|78500000|5|6|3375
Lahore|DHA Phase 7, DHA Defence|72500000|6|7|6750
Lahore|Bedian Road, Lahore|5000000|1|1|18000
Lahore|Allama Iqbal Town - Raza Block, Allama Iqbal Town|39500000|4|5|2250
Lahore|Allama Iqbal Town - Ravi Block, Allama Iqbal Town|27500000|4|5|2025
Lahore|Allama Iqbal Town - Nishtar Block, Allama Iqbal Town|25000000|4|4|1575
Lahore|Johar Town, Lahore|22500000|4|5|1125
Lahore|Johar Town, Lahore|14500000|3|4|788
Lahore|DHA Phase 6 - Block E, DHA Phase 6|67800000|5|6|4500
Lahore|DHA Phase 6 - Block B, DHA Phase 6|76400000|5|6|4500
Lahore|DHA Phase 6 - Block J, DHA Phase 6|73500000|5|7|4500
Lahore|DHA Phase 5 - Block C, DHA Phase 5|250000000|5|6|9000
Lahore|DHA Phase 7 - Block U, DHA Phase 7|95000000|5|6|4500
Lahore|DHA Phase 8 - Block S, DHA Phase 8|105000000|5|6|4500
Lahore|DHA Phase 6 - Block K, DHA Phase 6|350000000|6|7|9000
Lahore|DHA Phase 6 - Block K, DHA Phase 6|190000000|6|7|4500
Lahore|Lake City - Sector M-7, Lake City|25000000|4|5|1125
Lahore|Bahria Town - Sector C, Bahria Town|37000000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|82500000|5|6|4500
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|45000000|5|6|2250
Lahore|DHA Phase 7, DHA Defence|37000000|4|5|2250
Lahore|Johar Town Phase 2, Johar Town|35000000|6|6|1350
Lahore|Bahria Town - Overseas Enclave, Bahria Town|47500000|4|7|2250
Lahore|Bahria Town - Sector B, Bahria Town|26000000|3|4|1125
Lahore|Bahria Orchard Phase 4 - Block G5, Bahria Orchard Phase 4|6000000|2|2|1125
Lahore|Gulberg, Lahore|28700000|2|2|1035
Lahore|Bedian Road, Lahore|29000000|2|2|18000
Lahore|DHA Phase 6 - Block K, DHA Phase 6|147500000|5|6|4500
Lahore|PIA Housing Scheme, Lahore|40000000|6|6|2250
Lahore|Wapda Town, Lahore|49000000|5|7|2250
Lahore|DHA 9 Town, DHA Defence|18800000|3|5|1125
Lahore|Wapda Town, Lahore|43500000|6|7|2250
Lahore|Johar Town, Lahore|47500000|5|6|2700
Lahore|DHA Phase 3 - Block X, DHA Phase 3|137500000|7|7|7650
Lahore|Bedian Road, Lahore|35000000|2|3|18000
Lahore|Bedian Road, Lahore|28000000|2|3|18000
Lahore|Bedian Road, Lahore|68000000|5|6|18000
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|150000000|5|6|4950
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|60000000|5|6|4500
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|35000000|5|6|2250
Lahore|Bedian Road, Lahore|37500000|2|3|18000
Lahore|Lake City - Sector M7 - Block C, Lake City - Sector M-7|21000000|3|4|1125
Lahore|Lake City, Raiwind Road|56500000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|105000000|5|6|4500
Lahore|Lake City - Sector M-2A, Lake City|48000000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|77500000|5|6|4500
Lahore|Paragon City - Woods Block, Paragon City|70000000|4|5|4500
Lahore|DHA Phase 8 - Block U, DHA Phase 8|145000000|6|0|4500
Lahore|Central Park Housing Scheme, Lahore|17000000|4|5|1125
Lahore|Paragon City - Orchard 1 Block, Paragon City|46000000|4|4|2250
Lahore|Gulberg City Centre, Main Boulevard Gulberg|60800000|0|0|0.0
Lahore|DHA Phase 7 - Block S, DHA Phase 7|66100000|5|6|4500
Lahore|DHA Phase 8, DHA Defence|35000000|5|6|2250
Lahore|Formanites Housing Scheme - Block N, Formanites Housing Scheme|37500000|5|6|2250
Lahore|Formanites Housing Scheme - Block N, Formanites Housing Scheme|15000000|3|4|900
Lahore|Wapda Town, Lahore|82000000|6|7|4500
Lahore|Askari 11 - Sector A, Askari 11|18000000|2|2|1350
Lahore|Johar Town, Lahore|22000000|4|5|1125
Lahore|Bedian Road, Lahore|74000000|3|5|18000
Lahore|Bahria Town - Ghouri Block, Bahria Town - Sector B|55000000|5|6|4500
Lahore|Bahria Town - Chambelli Block, Bahria Town - Sector C|42500000|5|6|2250
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|53000000|5|6|2925
Lahore|Bahria Town - Tulip Block, Bahria Town - Sector C|30000000|5|6|2250
Lahore|Golf View Residencia - Phase 1, Golf View Residencia|52000000|5|6|3375
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|50000000|5|6|2475
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|40000000|5|6|2250
Lahore|DHA Phase 6 - Block K, DHA Phase 6|156000000|5|6|4500
Lahore|DHA Phase 6 - Block A, DHA Phase 6|69500000|4|4|2250
Lahore|DHA Phase 6 - Block B, DHA Phase 6|137500000|6|6|4500
Lahore|DHA 9 Town, DHA Defence|19000000|3|4|1125
Lahore|DHA Phase 6 - Block D, DHA Phase 6|315000000|11|7|9000
Lahore|DHA Phase 8, DHA Defence|77500000|5|6|4500
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|100000000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|18000000|3|4|1125
Lahore|Bahria Town - Nishtar Block, Bahria Town - Sector E|7500000|1|1|495
Lahore|DHA 9 Town, DHA Defence|18500000|3|4|1125
Lahore|DHA Phase 6, DHA Defence|45000000|4|5|2250
Lahore|Lake City - Sector M-7A, Lake City|31000000|6|6|1575
Lahore|Johar Town, Lahore|47500000|5|6|2700
Lahore|Johar Town, Lahore|75000000|5|6|4500
Lahore|Gulberg 3 - Block L, Gulberg 3|14200000|1|1|518
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|97500000|5|6|4500
Lahore|Askari 11 - Sector B Apartments, Askari 11|44000000|4|4|2700
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|47500000|5|6|2250
Lahore|Bahria Town - Safari Villas, Bahria Town - Sector B|15000000|2|2|1350
Lahore|Bahria Town - Tulip Block, Bahria Town - Sector C|45000000|5|6|2250
Lahore|Paragon City, Lahore|45000000|5|5|2250
Lahore|Park View City, Lahore|18000000|4|4|1125
Lahore|Park View City, Lahore|21500000|4|4|1125
Lahore|Bedian Road, Lahore|110000000|5|6|27000
Lahore|Paragon City, Lahore|40000000|5|6|2250
Lahore|DHA 9 Town, DHA Defence|20400000|3|4|1125
Lahore|DHA Phase 6, DHA Defence|77500000|6|6|5400
Lahore|DHA Phase 4, DHA Defence|69500000|5|6|3150
Lahore|DHA Phase 1, DHA Defence|198000000|5|6|9000
Lahore|DHA 9 Town, DHA Defence|20500000|3|4|1125
Lahore|Bahria Orchard Phase 1 - Northern, Bahria Orchard Phase 1|42500000|5|6|4500
Lahore|Central Park Housing Scheme, Lahore|33000000|5|6|2250
Lahore|Johar Town, Lahore|100000000|5|6|4500
Lahore|DHA Phase 6 - Block C, DHA Phase 6|107500000|5|6|4500
Lahore|Amanah Mall Service Apartments, Model Town Link Road|26600000|1|1|788
